August_1m,August_2m,August_3m,August_4m,December_1m,December_2m,December_3m,December_4m,August_1t,August_2t,August_3t,August_4t,December_1t,December_2t,December_3t,December_4t
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,10116
NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,3674,NA,NA,NA,NA
NA,NA,NA,444,NA,NA,NA,NA,NA,NA,NA,7288,NA,NA,NA,NA
NA,110,NA,NA,NA,NA,NA,NA,NA,5002,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,130,NA,NA,4457,NA,NA,NA,NA,4646,NA,NA
NA,NA,116,NA,124,NA,102,NA,NA,NA,3247,NA,5204,NA,5119,NA
NA,NA,194,NA,NA,NA,NA,NA,NA,NA,1771,NA,NA,NA,NA,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,2157,NA,NA,NA,NA,NA,NA
NA,110,NA,NA,NA,NA,NA,NA,NA,3236,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,68,NA,1600,NA,NA,NA,NA,NA,3592,NA
75,NA,NA,NA,NA,NA,NA,NA,2806,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,750,NA,NA,NA
265,146,77,121,124,NA,NA,NA,2678,1789,2164,1534,1710,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,829
NA,NA,77,NA,83,86,NA,106,NA,NA,1053,NA,1189,1112,NA,621
NA,73,NA,NA,NA,NA,NA,NA,NA,788,NA,NA,NA,NA,NA,NA
NA,110,NA,NA,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,1388
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,106224
NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,60628,NA,NA,NA,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,83266,NA,NA,NA
75,NA,NA,NA,166,86,NA,177,3788,NA,NA,NA,4382,4818,NA,4426
NA,NA,NA,80,124,130,102,106,NA,NA,NA,1418,2838,2602,2497,2655
NA,NA,77,NA,83,86,NA,NA,NA,NA,2106,NA,3784,2797,NA,NA
NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,1058,NA,NA,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA
NA,NA,194,NA,83,NA,68,NA,NA,NA,2214,NA,4382,NA,4875,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,5551,NA,NA,NA
NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,5774,NA,NA,NA,NA
NA,146,NA,NA,NA,NA,NA,NA,NA,4446,NA,NA,NA,NA,NA,NA
NA,NA,116,NA,NA,NA,NA,NA,NA,NA,683,NA,NA,NA,NA,NA
NA,NA,77,NA,NA,NA,NA,NA,NA,NA,683,NA,NA,NA,NA,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,917,NA,NA,NA,NA,NA,NA
NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,524,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,4721
NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,NA,NA,NA,2950
NA,NA,NA,80,NA,NA,102,NA,NA,NA,NA,3849,NA,NA,5388,NA
NA,146,NA,NA,NA,NA,NA,NA,NA,5240,NA,NA,NA,NA,NA,NA
NA,110,155,80,NA,NA,NA,70,NA,3668,2783,4254,NA,NA,NA,5058
NA,NA,NA,NA,NA,NA,NA,389,NA,NA,NA,NA,NA,NA,NA,9273
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,7868
NA,110,NA,NA,83,NA,273,106,NA,2038,NA,NA,4625,NA,4875,4828
NA,220,NA,NA,NA,NA,NA,NA,NA,421,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,940
NA,NA,77,NA,NA,173,102,NA,NA,NA,2514,NA,NA,3401,2925,NA
NA,NA,194,NA,NA,NA,NA,106,NA,NA,5904,NA,NA,NA,NA,2360
189,73,116,NA,NA,NA,68,NA,8610,5643,5845,NA,NA,NA,6825,NA
NA,NA,77,NA,NA,NA,NA,NA,NA,NA,5567,NA,NA,NA,NA,NA
NA,110,NA,NA,NA,NA,238,177,NA,5502,NA,NA,NA,NA,5972,5710
NA,73,NA,NA,NA,173,NA,NA,NA,4585,NA,NA,NA,4818,NA,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,5901
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,5250,NA
151,NA,NA,NA,NA,NA,NA,NA,5612,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,NA,NA,NA,70,NA,NA,NA,5774,NA,NA,NA,7868
NA,73,NA,80,124,NA,NA,NA,NA,4315,NA,4254,4995,NA,NA,NA
NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,4015,NA
NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,4163,NA,NA,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,705,NA,NA,NA
NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,1151,NA,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,3202,NA,NA,NA
NA,73,NA,121,NA,NA,NA,70,NA,146,NA,242,NA,NA,NA,88
NA,73,NA,NA,NA,216,NA,NA,NA,386,NA,NA,NA,390,NA,NA
NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,242,NA,NA,NA,NA
NA,NA,77,NA,NA,NA,NA,NA,NA,NA,1199,NA,NA,NA,NA,NA
NA,NA,NA,242,NA,NA,NA,NA,NA,NA,NA,404,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,3540
NA,NA,155,NA,208,260,136,212,NA,NA,2164,NA,3154,2797,3174,2870
NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,1828,NA
NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,1470,NA,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,5204,NA,NA,NA
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,22752,NA
75,NA,NA,NA,NA,NA,NA,NA,12628,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,848,NA,NA,NA,NA,NA,NA,NA,30314,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,70,1942,NA,NA,NA,NA,NA,NA,4426
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,5551,NA,NA,NA
NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,5947,NA,NA,NA
NA,NA,NA,80,83,NA,NA,NA,NA,NA,NA,5052,4382,NA,NA,NA
NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,4029,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,1295
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,1539
NA,110,NA,NA,NA,NA,NA,NA,NA,10004,NA,NA,NA,NA,NA,NA
NA,NA,116,NA,NA,NA,NA,NA,NA,NA,8350,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,18943,NA,NA,NA,NA,NA,NA,NA
NA,73,NA,NA,83,NA,136,70,NA,18342,NA,NA,20816,NA,19502,14163
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,1379
NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,906,NA
113,NA,NA,NA,NA,NA,NA,NA,585,NA,NA,NA,NA,NA,NA,NA
